alpha,beta,c,gamma,p0,sigma,market,margin,bcost,entry,exit,merger,bundling,profits,surplus,welfare,mpoly,mpolyA,mpolyB,profitsLR,surplusLR,welfareLR
0.3,0.95,1.0,0.0,1.0,3.0,200,0.6396,0.0,1.084,0.0,0.0,0.0,1.405,1.247,2.652,0.0,0.0,0.0,1.317,1.702,3.02
0.3,0.95,1.0,0.0,1.0,3.0,300,0.2332,0.0,0.5933,0.0,0.0,0.0,1.366,1.421,2.787,0.0,0.0,0.0,1.317,1.702,3.02
0.3,0.95,1.0,0.0,1.0,3.0,400,0.3486,0.0,0.0,0.0,0.0,0.0,1.234,1.694,2.93,0.0,0.0,0.0,1.317,1.702,3.02
0.3,0.95,1.0,0.0,1.0,4.0,200,0.7,0.006428,0.8623,0.0,0.0,0.0,1.321,1.239,2.56,0.0,0.0,0.0,0.999,1.91,2.91
0.3,0.95,1.0,0.0,1.0,4.0,300,0.123,0.254,0.4868,0.0,0.0,0.0,1.199,1.489,2.688,0.0,0.0,0.0,0.999,1.91,2.91
0.3,0.95,1.0,0.0,1.0,4.0,400,0.1893,0.2212,0.0,0.0,0.0,0.0,0.917,1.902,2.818,0.0,0.0,0.0,0.999,1.91,2.91
0.3,0.95,1.0,0.0,1.0,5.0,200,0.6304,0.0423,0.5137,0.002266,0.0,0.0,1.731,0.66,2.393,0.0,0.614,0.0,1.544,1.078,2.623
0.3,0.95,1.0,0.0,1.0,5.0,300,-1.004,0.6064,0.3774,0.065,0.0,0.0,1.22,1.371,2.592,0.0,0.1312,0.0,0.959,1.835,2.793
0.3,0.95,1.0,0.0,1.0,5.0,400,-4.63,0.6416,0.003496,0.8525,0.0,0.0,0.366,2.135,2.5,0.0,0.834,0.0,1.811,0.734,2.545
0.3,0.95,1.0,0.0,1.0,6.0,200,-1.056,0.2522,0.4087,0.007576,0.0,0.0,1.968,0.3838,2.352,0.0,0.9688,0.0,2.037,0.4734,2.51
0.3,0.95,1.0,0.0,1.0,6.0,300,-4.387,0.6333,0.3137,0.823,0.0,0.0,1.81,0.5986,2.408,0.0,0.915,0.0,1.961,0.565,2.525
0.3,0.95,1.0,0.0,1.0,6.0,400,-5.25,0.6333,0.001659,0.9014,0.0,0.0,0.3105,2.186,2.496,0.0,0.939,0.0,1.994,0.5244,2.518
0.3,0.95,1.0,0.0,1.0,7.0,200,-1.275,0.2462,0.379,0.007168,0.0,0.0,2.02,0.3474,2.367,0.0,0.9937,0.0,2.121,0.391,2.512
0.3,0.95,1.0,0.0,1.0,7.0,300,-5.062,0.394,0.2803,0.857,0.0,0.0,1.956,0.4465,2.402,0.0,0.9917,0.0,2.117,0.3945,2.512
